"id","name","elevation","frame_validation","app_key","device_profile_id","application_id","multicast_group_id","commissioning_date","serial_number","longitude","latitude","active","last_seen_at","surface_azimuth","tracking_max_angle","tracking_min_angle","home_position","wind_speed_threshold","table_width","ptp_spacing","inclinometer_offset","slope","yaw_angle"
AC1F09FFFE11985E,TCU 06 - ANTIGA 1,556.0,true,"076F672B4DA4B583E60201B37EA4A50A","1d3d533d-15c8-40f3-bd3b-cb34e61f16ef","259d2915-5a5f-43b0-9d89-ae30959053dc",,2024-10-29 16:45:19.736 -0300,"0124080100051",-48.464895,-20.913337,false,2025-03-31 13:08:26.948 -0300,0.0,55.0,-55.0,25.0,15.0,2.385,5.5,0.0,0.0,0.0
AC1F09FFFE11992B,TCU 07,556.0,true,"076F672B4DA4B583E60201B37EA4A50A","1d3d533d-15c8-40f3-bd3b-cb34e61f16ef","259d2915-5a5f-43b0-9d89-ae30959053dc",,2024-10-29 16:45:23.901 -0300,"0124080100228",-48.465157,-20.913087,true,2025-04-03 09:18:18.336 -0300,0.0,55.0,-55.0,25.0,15.0,2.385,5.5,0.0,0.0,0.0
AC1F09FFFE1196CD,TCU 08,420.0,true,"076F672B4DA4B583E60201B37EA4A50A","1d3d533d-15c8-40f3-bd3b-cb34e61f16ef","259d2915-5a5f-43b0-9d89-ae30959053dc",,2025-02-13 14:57:00.331 -0300,"0124100100436",-48.465262,-20.913107,true,2025-04-03 09:29:04.192 -0300,0.0,55.0,-55.0,25.0,15.0,2.385,6.5,0.0,0.0,0.0
AC1F09FFFE11985A,TCU 08 - ANTIGA 1,556.0,true,"076F672B4DA4B583E60201B37EA4A50A","1d3d533d-15c8-40f3-bd3b-cb34e61f16ef","259d2915-5a5f-43b0-9d89-ae30959053dc",,2024-10-29 16:45:26.864 -0300,"0124090100010",-48.46518,-20.91318,false,2025-02-13 16:35:28.228 -0300,0.0,55.0,-55.0,25.0,15.0,2.385,5.5,0.0,0.0,0.0
AC1F09FFFE11990A,TCU 09,556.0,true,"076F672B4DA4B583E60201B37EA4A50A","1d3d533d-15c8-40f3-bd3b-cb34e61f16ef","259d2915-5a5f-43b0-9d89-ae30959053dc",,2024-10-29 16:45:29.612 -0300,"012407010443 ",-48.465414,-20.913096,true,2025-03-31 14:09:15.270 -0300,0.0,55.0,-55.0,25.0,15.0,2.385,5.5,0.0,0.0,0.0
AC1F09FFFE119968,TCU 10,556.0,true,"076F672B4DA4B583E60201B37EA4A50A","1d3d533d-15c8-40f3-bd3b-cb34e61f16ef","259d2915-5a5f-43b0-9d89-ae30959053dc",,2024-10-29 16:45:34.165 -0300,"0124080100259",-48.465528,-20.913131,true,2025-04-02 21:21:41.683 -0300,0.0,55.0,-55.0,25.0,15.0,2.385,5.5,0.0,0.0,0.0
AC1F09FFFE1199EF,TCU 11,556.0,true,"076F672B4DA4B583E60201B37EA4A50A","1d3d533d-15c8-40f3-bd3b-cb34e61f16ef","259d2915-5a5f-43b0-9d89-ae30959053dc",,2024-10-29 16:46:29.209 -0300,"0124080101454",-48.465638,-20.91316,true,2025-04-03 09:32:38.490 -0300,0.0,55.0,-55.0,25.0,15.0,2.385,5.5,0.0,0.0,0.0
AC1F09FFFE1197A3,TCU 12,556.0,true,"076F672B4DA4B583E60201B37EA4A50A","1d3d533d-15c8-40f3-bd3b-cb34e61f16ef","259d2915-5a5f-43b0-9d89-ae30959053dc",,2024-10-29 16:45:41.101 -0300,"0124090100157",-48.465739,-20.913161,true,2025-04-03 09:29:59.904 -0300,0.0,55.0,-55.0,25.0,15.0,2.385,5.5,0.0,0.0,0.0
AC1F09FFFE1198AC,TCU 13,420.0,true,"076F672B4DA4B583E60201B37EA4A50A","1d3d533d-15c8-40f3-bd3b-cb34e61f16ef","259d2915-5a5f-43b0-9d89-ae30959053dc",,2025-02-13 13:44:43.740 -0300,"0124090102434",-48.464056,-20.913891,true,2025-04-03 09:25:09.338 -0300,0.0,55.0,-55.0,25.0,15.0,2.385,6.5,0.0,0.0,0.0
AC1F09FFFE11990F,TCU 13 - ANTIGA 1,556.0,true,"076F672B4DA4B583E60201B37EA4A50A","1d3d533d-15c8-40f3-bd3b-cb34e61f16ef","259d2915-5a5f-43b0-9d89-ae30959053dc",,2024-10-29 16:45:44.264 -0300,"0124080100662",-48.46407,-20.91389,false,2025-02-13 04:24:32.476 -0300,0.0,55.0,-55.0,25.0,15.0,2.385,5.5,0.0,0.0,0.0
AC1F09FFFE119827,TCU 14,556.0,true,"076F672B4DA4B583E60201B37EA4A50A","1d3d533d-15c8-40f3-bd3b-cb34e61f16ef","259d2915-5a5f-43b0-9d89-ae30959053dc",,2025-02-02 06:28:36.416 -0300,"0124090102250",-48.464207,-20.913937,true,2025-04-03 09:29:09.404 -0300,0.0,55.0,-55.0,25.0,15.0,2.385,6.5,0.0,0.0,0.0
AC1F09FFFE1199F3,TCU 14 - ANTIGA 1,556.0,true,"076F672B4DA4B583E60201B37EA4A50A","1d3d533d-15c8-40f3-bd3b-cb34e61f16ef","259d2915-5a5f-43b0-9d89-ae30959053dc",,2024-10-29 16:45:51.332 -0300,"0124080100754",-48.46423,-20.91389,false,2025-02-13 18:49:17.505 -0300,0.0,55.0,-55.0,25.0,15.0,2.385,5.5,0.0,0.0,0.0
AC1F09FFFE1199C4,TCU 15,556.0,true,"076F672B4DA4B583E60201B37EA4A50A","1d3d533d-15c8-40f3-bd3b-cb34e61f16ef","259d2915-5a5f-43b0-9d89-ae30959053dc",,2024-10-29 16:45:56.343 -0300,"0124080100396",-48.464303,-20.913964,true,2025-04-03 09:32:06.688 -0300,0.0,55.0,-55.0,25.0,15.0,2.385,5.5,0.0,0.0,0.0
AC1F09FFFE13A12E,TCU 16,556.0,true,"076F672B4DA4B583E60201B37EA4A50A","1d3d533d-15c8-40f3-bd3b-cb34e61f16ef","259d2915-5a5f-43b0-9d89-ae30959053dc",,2025-04-01 10:11:36.080 -0300,"0225020110601",-48.464422,-20.913964,true,2025-04-03 09:28:06.010 -0300,0.0,55.0,-55.0,25.0,15.0,2.385,6.5,0.0,0.0,0.0
